% Model:              Two_segments_demag.mph
% Version:            COMSOL 5.6.0.341
% Date:               Feb 13 2022, 14:04
% Dimension:          1
% Nodes:              1000
% Expressions:        1
% Description:        Line graph
% s                       Height
0.0066492324350603815     0.7555715543218897
0.006695407660303856      0.7599504834653525
0.006741582885547328      0.7649176414432419
0.006787758110790807      0.7698764278995894
0.006833933336034283      0.7742962330815994
0.006880108561277754      0.7787220380574853
0.006926283786521234      0.7831538072096845
0.0069724590117647076     0.7875915048840323
0.007018634237008178      0.7917710843068114
0.007064809462251657      0.7963891599640724
0.007110984687495128      0.8005234208101758
0.007157159912738602      0.8046639278966239
0.0072033351379820814     0.8088106490527832
0.0072495103632255545     0.8129635520698724
0.00729568558846903       0.8164561400885177
0.007341860813712503      0.8203406980373394
0.007388036038955977      0.824419547737401
0.007434211264199451      0.8279051135677875
0.007480386489442932      0.831396979480707
0.007526561714686405      0.8348951174886284
0.007572736939929881      0.8383994995654859
0.007618912165173356      0.8415479833205753
